"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"14","Xestospongia testudinaria vs Petrosia (Petrosia) nova spec Curacao",1,1.37626902255202,7.11197524550863,0.252987390014328,0.002,0.42,""
"15","Xestospongia testudinaria vs Neopetrosia eurystomata",1,3.37496726921938,20.826307781807,0.401848186243316,0.001,0.21,""
"16","Xestospongia testudinaria vs Neopetrosia chaliniformis",1,1.23850327640631,6.30250552491947,0.222683660263587,0.002,0.42,""
"17","Xestospongia testudinaria vs Xestospongia mamillata",1,1.10552646383858,5.39150199600267,0.204289319979563,0.001,0.21,""
"18","Xestospongia testudinaria vs Xestospongia viridenigra",1,3.21497156267697,18.7369189484485,0.438424655063459,0.001,0.21,""
"19","Xestospongia testudinaria vs Petrosia (Petrosia) lignosa",1,1.32675057033245,6.88998042204317,0.247041421965201,0.002,0.42,""
"20","Xestospongia testudinaria vs Neopetrosia ovata",1,2.43295470964637,13.1948920518794,0.364551219906021,0.001,0.21,""
"21","Petrosia (Strongylophora) corticata vs Xestospongia vansoesti",1,1.94847456925599,7.33723718184193,0.360778463477476,0.001,0.21,""
"22","Petrosia (Strongylophora) corticata vs Petrosia (Petrosia) nova spec Lanyu",1,2.5924536868136,28.0484634309218,0.700363035882803,0.001,0.21,""
"23","Petrosia (Strongylophora) corticata vs Petrosia (Petrosia) elephantotus",1,1.69671232529338,25.9660654588428,0.787660434978529,0.015,1,""
"24","Petrosia (Strongylophora) corticata vs Xestospongia nova spec Lanyu",1,3.00042279332454,56.2434789096155,0.812256688937176,0.001,0.21,""
"25","Petrosia (Strongylophora) corticata vs Acanthostrongylophora ingens",1,2.83222374011435,21.8087886032113,0.576817967697567,0.001,0.21,""
